relative_path,filename,extension,subdirectory,size_bytes,modified_utc
docs/diagrams/ITS-SU service.dot.svg,ITS-SU service.dot.svg,.svg,diagrams,4192,2026-09-21 20:45:56
docs/diagrams/ITS-SU user need.dot,ITS-SU user need.dot,.dot,diagrams,1324,2026-09-21 20:45:56
docs/diagrams/ITS-SU user need.dot.png,ITS-SU user need.dot.png,.png,diagrams,11382,2026-09-21 20:45:56
docs/diagrams/ITS-SU user need.dot.svg,ITS-SU user need.dot.svg,.svg,diagrams,3193,2026-09-21 20:45:56
docs/diagrams/ITS-SU user.dot,ITS-SU user.dot,.dot,diagrams,1192,2026-09-21 20:45:56
docs/diagrams/ITS-SU user.dot.png,ITS-SU user.dot.png,.png,diagrams,7510,2026-09-21 20:45:56
docs/diagrams/ITS-SU user.dot.svg,ITS-SU user.dot.svg,.svg,diagrams,3002,2026-09-21 20:45:56
docs/diagrams/Jersey barrier.dot,Jersey barrier.dot,.dot,diagrams,903,2026-09-21 20:45:56
docs/diagrams/Jersey barrier.dot.png,Jersey barrier.dot.png,.png,diagrams,5114,2026-09-21 20:45:56
docs/diagrams/Jersey barrier.dot.svg,Jersey barrier.dot.svg,.svg,diagrams,1989,2026-09-21 20:45:56
docs/diagrams/P2P mobility sharing app.dot,P2P mobility sharing app.dot,.dot,diagrams,889,2026-09-21 20:46:05
docs/diagrams/P2P mobility sharing app.dot.png,P2P mobility sharing app.dot.png,.png,diagrams,6156,2026-09-21 20:46:05
docs/diagrams/P2P mobility sharing app.dot.svg,P2P mobility sharing app.dot.svg,.svg,diagrams,1987,2026-09-21 20:46:05
docs/diagrams/access layer.dot,access layer.dot,.dot,diagrams,566,2026-09-21 20:45:33
docs/diagrams/access layer.dot.png,access layer.dot.png,.png,diagrams,2183,2026-09-21 20:45:33
docs/diagrams/access layer.dot.svg,access layer.dot.svg,.svg,diagrams,1052,2026-09-21 20:45:33
docs/diagrams/actuator.dot,actuator.dot,.dot,diagrams,960,2026-09-21 20:45:33
docs/diagrams/actuator.dot.png,actuator.dot.png,.png,diagrams,8260,2026-09-21 20:45:33
docs/diagrams/actuator.dot.svg,actuator.dot.svg,.svg,diagrams,2281,2026-09-21 20:45:33
docs/diagrams/agent.dot,agent.dot,.dot,diagrams,584,2026-01-08 14:01:46
docs/diagrams/agent.dot.png,agent.dot.png,.png,diagrams,1628,2026-01-08 14:01:47
docs/diagrams/agent.dot.svg,agent.dot.svg,.svg,diagrams,1126,2026-01-08 14:01:46
docs/diagrams/alley.dot,alley.dot,.dot,diagrams,801,2026-09-21 20:45:34
docs/diagrams/alley.dot.png,alley.dot.png,.png,diagrams,2862,2026-09-21 20:45:34
docs/diagrams/alley.dot.svg,alley.dot.svg,.svg,diagrams,1898,2026-09-21 20:45:34
docs/diagrams/anonymized vehicle reference.dot,anonymized vehicle reference.dot,.dot,diagrams,1006,2026-09-21 20:45:34
docs/diagrams/anonymized vehicle reference.dot.png,anonymized vehicle reference.dot.png,.png,diagrams,8061,2026-09-21 20:45:34
docs/diagrams/anonymized vehicle reference.dot.svg,anonymized vehicle reference.dot.svg,.svg,diagrams,2250,2026-09-21 20:45:34
docs/diagrams/application entity.dot,application entity.dot,.dot,diagrams,584,2026-09-21 20:45:34
docs/diagrams/application entity.dot.png,application entity.dot.png,.png,diagrams,2392,2026-09-21 20:45:34
docs/diagrams/application entity.dot.svg,application entity.dot.svg,.svg,diagrams,1052,2026-09-21 20:45:34
docs/diagrams/application template.dot,application template.dot,.dot,diagrams,1070,2026-09-21 20:45:34
docs/diagrams/application template.dot.png,application template.dot.png,.png,diagrams,9337,2026-09-21 20:45:34
docs/diagrams/application template.dot.svg,application template.dot.svg,.svg,diagrams,2359,2026-09-21 20:45:34
docs/diagrams/architecture description.dot,architecture description.dot,.dot,diagrams,2785,2026-09-21 20:45:34
docs/diagrams/architecture description.dot.png,architecture description.dot.png,.png,diagrams,49097,2026-09-21 20:45:34
docs/diagrams/architecture description.dot.svg,architecture description.dot.svg,.svg,diagrams,8036,2026-09-21 20:45:34
docs/diagrams/architecture framework.dot,architecture framework.dot,.dot,diagrams,1079,2026-09-21 20:45:35
docs/diagrams/architecture framework.dot.png,architecture framework.dot.png,.png,diagrams,10373,2026-09-21 20:45:35
docs/diagrams/architecture framework.dot.svg,architecture framework.dot.svg,.svg,diagrams,2354,2026-09-21 20:45:35
docs/diagrams/architecture model.dot,architecture model.dot,.dot,diagrams,584,2026-09-21 20:45:35
docs/diagrams/architecture model.dot.png,architecture model.dot.png,.png,diagrams,2481,2026-09-21 20:45:35
docs/diagrams/architecture model.dot.svg,architecture model.dot.svg,.svg,diagrams,1074,2026-09-21 20:45:35
docs/diagrams/architecture view.dot,architecture view.dot,.dot,diagrams,992,2026-09-21 20:45:35
docs/diagrams/architecture view.dot.png,architecture view.dot.png,.png,diagrams,8196,2026-09-21 20:45:35
docs/diagrams/architecture view.dot.svg,architecture view.dot.svg,.svg,diagrams,2231,2026-09-21 20:45:35
docs/diagrams/architecture viewpoint.dot,architecture viewpoint.dot,.dot,diagrams,1670,2026-09-21 20:45:35
docs/diagrams/architecture viewpoint.dot.png,architecture viewpoint.dot.png,.png,diagrams,21341,2026-09-21 20:45:35
docs/diagrams/architecture viewpoint.dot.svg,architecture viewpoint.dot.svg,.svg,diagrams,4410,2026-09-21 20:45:35
docs/diagrams/architecture.dot,architecture.dot,.dot,diagrams,938,2026-09-21 20:45:34
docs/diagrams/architecture.dot.png,architecture.dot.png,.png,diagrams,5699,2026-09-21 20:45:34
docs/diagrams/architecture.dot.svg,architecture.dot.svg,.svg,diagrams,2236,2026-09-21 20:45:34
docs/diagrams/area destination.dot,area destination.dot,.dot,diagrams,861,2026-09-21 20:45:35
docs/diagrams/area destination.dot.png,area destination.dot.png,.png,diagrams,4735,2026-09-21 20:45:35
docs/diagrams/area destination.dot.svg,area destination.dot.svg,.svg,diagrams,1935,2026-09-21 20:45:35
docs/diagrams/area location.dot,area location.dot,.dot,diagrams,861,2026-09-21 20:45:35
docs/diagrams/area location.dot.png,area location.dot.png,.png,diagrams,4663,2026-09-21 20:45:35
docs/diagrams/area location.dot.svg,area location.dot.svg,.svg,diagrams,1941,2026-09-21 20:45:35
docs/diagrams/authentication.dot,authentication.dot,.dot,diagrams,601,2026-09-21 20:45:35
docs/diagrams/authentication.dot.png,authentication.dot.png,.png,diagrams,2090,2026-09-21 20:45:35
docs/diagrams/authentication.dot.svg,authentication.dot.svg,.svg,diagrams,1140,2026-09-21 20:45:35
docs/diagrams/authenticator.dot,authenticator.dot,.dot,diagrams,597,2026-09-21 20:45:35
docs/diagrams/authenticator.dot.png,authenticator.dot.png,.png,diagrams,2145,2026-09-21 20:45:35
docs/diagrams/authenticator.dot.svg,authenticator.dot.svg,.svg,diagrams,1136,2026-09-21 20:45:35
docs/diagrams/bikesharing service.dot,bikesharing service.dot,.dot,diagrams,907,2026-09-21 20:45:36
docs/diagrams/bikesharing service.dot.png,bikesharing service.dot.png,.png,diagrams,5453,2026-09-21 20:45:36
docs/diagrams/bikesharing service.dot.svg,bikesharing service.dot.svg,.svg,diagrams,2011,2026-09-21 20:45:36
docs/diagrams/biological entity.dot,biological entity.dot,.dot,diagrams,873,2026-09-21 20:45:36
docs/diagrams/biological entity.dot.png,biological entity.dot.png,.png,diagrams,5170,2026-09-21 20:45:36
docs/diagrams/biological entity.dot.svg,biological entity.dot.svg,.svg,diagrams,1948,2026-09-21 20:45:36
docs/diagrams/block-face.dot,block-face.dot,.dot,diagrams,1354,2026-09-21 20:45:36
docs/diagrams/block-face.dot.png,block-face.dot.png,.png,diagrams,14170,2026-09-21 20:45:36
docs/diagrams/block-face.dot.svg,block-face.dot.svg,.svg,diagrams,3824,2026-09-21 20:45:36
docs/diagrams/bounded secured managed domain.dot,bounded secured managed domain.dot,.dot,diagrams,1296,2026-09-21 20:45:36
docs/diagrams/bounded secured managed domain.dot.png,bounded secured managed domain.dot.png,.png,diagrams,9075,2026-09-21 20:45:36
docs/diagrams/bounded secured managed domain.dot.svg,bounded secured managed domain.dot.svg,.svg,diagrams,3112,2026-09-21 20:45:36
docs/diagrams/bridge.dot,bridge.dot,.dot,diagrams,860,2026-09-21 20:45:36
docs/diagrams/bridge.dot.png,bridge.dot.png,.png,diagrams,4375,2026-09-21 20:45:36
docs/diagrams/bridge.dot.svg,bridge.dot.svg,.svg,diagrams,2009,2026-09-21 20:45:36
docs/diagrams/built-in vehicle input device.dot,built-in vehicle input device.dot,.dot,diagrams,939,2026-09-21 20:45:36
docs/diagrams/built-in vehicle input device.dot.png,built-in vehicle input device.dot.png,.png,diagrams,5722,2026-09-21 20:45:36
docs/diagrams/built-in vehicle input device.dot.svg,built-in vehicle input device.dot.svg,.svg,diagrams,2069,2026-09-21 20:45:36
docs/diagrams/campus.dot,campus.dot,.dot,diagrams,864,2026-09-21 20:45:36
docs/diagrams/campus.dot.png,campus.dot.png,.png,diagrams,4997,2026-09-21 20:45:37
docs/diagrams/campus.dot.svg,campus.dot.svg,.svg,diagrams,2015,2026-09-21 20:45:36
docs/diagrams/carriageway.dot,carriageway.dot,.dot,diagrams,1674,2026-09-21 20:45:37
docs/diagrams/carriageway.dot.png,carriageway.dot.png,.png,diagrams,14802,2026-09-21 20:45:37
docs/diagrams/carriageway.dot.svg,carriageway.dot.svg,.svg,diagrams,3979,2026-09-21 20:45:37
docs/diagrams/carsharing service.dot,carsharing service.dot,.dot,diagrams,903,2026-09-21 20:45:37
docs/diagrams/carsharing service.dot.png,carsharing service.dot.png,.png,diagrams,5161,2026-09-21 20:45:37
docs/diagrams/carsharing service.dot.svg,carsharing service.dot.svg,.svg,diagrams,2013,2026-09-21 20:45:37
docs/diagrams/central reservation.dot,central reservation.dot,.dot,diagrams,923,2026-09-21 20:45:37
docs/diagrams/central reservation.dot.png,central reservation.dot.png,.png,diagrams,6055,2026-09-21 20:45:37
docs/diagrams/central reservation.dot.svg,central reservation.dot.svg,.svg,diagrams,2014,2026-09-21 20:45:37
docs/diagrams/central system.dot,central system.dot,.dot,diagrams,853,2026-09-21 20:45:37
docs/diagrams/central system.dot.png,central system.dot.png,.png,diagrams,4819,2026-09-21 20:45:37
docs/diagrams/central system.dot.svg,central system.dot.svg,.svg,diagrams,1900,2026-09-21 20:45:37
docs/diagrams/class.dot,class.dot,.dot,diagrams,831,2026-09-21 20:45:37
docs/diagrams/class.dot.png,class.dot.png,.png,diagrams,3826,2026-09-21 20:45:37
docs/diagrams/class.dot.svg,class.dot.svg,.svg,diagrams,1959,2026-09-21 20:45:37
docs/diagrams/commercial.dot,commercial.dot,.dot,diagrams,868,2026-09-21 20:45:37
docs/diagrams/commercial.dot.png,commercial.dot.png,.png,diagrams,4634,2026-09-21 20:45:37
docs/diagrams/commercial.dot.svg,commercial.dot.svg,.svg,diagrams,1988,2026-09-21 20:45:37
